ticker,entry_date,exit_date,entry_price,exit_price,quantity,gross_pnl,net_pnl,cost,return_pct,exit_reason,holding_days,is_win
TMDX,2022-02-28,2022-03-17,18.479999542236328,19.59000015258789,118,130.98,127.56,3.42,6.01,trailing_stop,17,True
STLD,2022-02-28,2022-03-21,67.49403740126556,80.99,48,647.81,642.74,5.07,20.0,take_profit_TP1_partial,21,True
DKNG,2022-03-31,2022-04-21,19.56999969482422,14.67,188,-921.2,-925.09,3.89,-25.04,hard_stop,21,False
TMDX,2022-03-31,2022-04-22,27.100000381469727,21.52,189,-1054.62,-1059.88,5.26,-20.59,hard_stop,22,False
CDRE,2022-05-31,2022-06-08,23.75022919564711,24.537574005126956,118,92.91,88.88,4.03,3.32,trailing_stop,8,True
AFRM,2022-05-31,2022-08-05,28.739999771118164,30.601999282836914,41,76.34,74.03,2.31,6.48,trailing_stop,66,True
DKNG,2022-10-31,2022-11-04,16.329999923706055,11.43,181,-886.9,-890.06,3.16,-30.01,hard_stop,4,False
TMDX,2022-10-31,2022-11-07,49.119998931884766,58.94,88,864.16,857.72,6.44,19.99,take_profit_TP1_partial,7,True
AFRM,2023-01-31,2023-02-02,15.970000267028809,18.774999618530273,173,485.26,480.86,4.4,17.56,trailing_stop,2,True
TMDX,2022-11-30,2023-02-23,62.45000076293945,71.57600280761719,105,958.23,949.35,8.88,14.61,trailing_stop,85,True
TMDX,2023-02-28,2023-04-14,79.51000213623047,67.58,81,-966.33,-973.07,6.74,-15.0,hard_stop,45,False
AFRM,2023-03-31,2023-05-17,11.199999809265137,13.44,359,804.16,798.1,6.06,20.0,take_profit_TP1_partial,47,True
AFRM,2023-05-31,2023-06-07,14.725000381469727,17.67,248,730.36,724.77,5.59,20.0,take_profit_TP1_partial,7,True
AFRM,2023-07-31,2023-08-11,19.049999237060547,14.720000267028809,217,-939.61,-943.95,4.34,-22.73,hard_stop,11,False
TMDX,2023-11-30,2024-01-09,74.3499984741211,78.51000213623047,97,403.52,394.53,8.99,5.6,trailing_stop,40,True
TMDX,2024-01-31,2024-02-26,85.44999694824219,72.63,77,-987.14,-994.0,6.86,-15.0,hard_stop,26,False
TMDX,2024-11-29,2024-12-03,87.0199966430664,73.23,77,-1061.83,-1068.74,6.91,-15.85,hard_stop,4,False
