ticker,entry_date,exit_date,entry_price,exit_price,quantity,gross_pnl,net_pnl,cost,return_pct,exit_reason,holding_days,is_win
STLD,2022-01-03,2022-01-21,58.4010999078365,49.64,96,-841.07,-847.06,5.99,-15.0,hard_stop,18,False
TMDX,2022-02-08,2022-02-23,15.699999809265137,13.09,389,-1015.29,-1021.63,6.34,-16.62,hard_stop,15,False
TMDX,2022-08-22,2022-08-24,47.02000045776367,49.119060142517085,71,149.03,144.38,4.65,4.46,trailing_stop,2,True
TMDX,2022-08-24,2022-09-27,53.29999923706055,39.2,72,-1015.2,-1019.15,3.95,-26.45,hard_stop,34,False
TMDX,2023-03-27,2023-04-21,75.73999786376953,80.75499725341797,72,361.08,353.98,7.1,6.62,trailing_stop,25,True
TMDX,2023-04-21,2023-05-02,89.36000061035156,75.96,71,-951.4,-958.05,6.65,-15.0,hard_stop,11,False
TMDX,2023-11-03,2023-11-07,43.02000045776367,57.0,172,2404.56,2393.28,11.28,32.5,trailing_stop,4,True
TMDX,2023-11-07,2023-11-29,60.81999969482422,72.98,105,1276.8,1267.76,9.04,19.99,take_profit_TP1_partial,22,True
TMDX,2023-11-29,2024-01-02,73.5,77.06999969482422,101,360.57,351.41,9.16,4.86,trailing_stop,34,True
TMDX,2024-01-02,2024-01-09,75.87999725341797,78.51000213623047,87,228.81,220.65,8.16,3.47,trailing_stop,7,True
TMDX,2024-01-09,2024-02-26,85.69999694824219,72.84,77,-990.22,-997.1,6.88,-15.01,hard_stop,48,False
TMDX,2024-11-27,2024-12-03,87.47000122070312,73.42,76,-1067.8,-1074.65,6.85,-16.06,hard_stop,6,False
