date,equity,daily_return,drawdown,num_positions
2022-01-03,100000.0,0.0,0.0,0
2022-01-04,100000.0,0.0,0.0,0
2022-01-05,100000.0,0.0,0.0,0
2022-01-06,100000.0,0.0,0.0,0
2022-01-07,100000.0,0.0,0.0,0
2022-01-10,100000.0,0.0,0.0,0
2022-01-11,100000.0,0.0,0.0,0
2022-01-12,100000.0,0.0,0.0,0
2022-01-13,100000.0,0.0,0.0,0
2022-01-14,100000.0,0.0,0.0,0
2022-01-18,100000.0,0.0,0.0,0
2022-01-19,100000.0,0.0,0.0,0
2022-01-20,100000.0,0.0,0.0,0
2022-01-21,100000.0,0.0,0.0,0
2022-01-24,100000.0,0.0,0.0,0
2022-01-25,100000.0,0.0,0.0,0
2022-01-26,100000.0,0.0,0.0,0
2022-01-27,100000.0,0.0,0.0,0
2022-01-28,100000.0,0.0,0.0,0
2022-01-31,100000.0,0.0,0.0,5
2022-02-01,101704.18013809204,0.017042,0.0,5
2022-02-02,102568.24230239868,0.008496,0.0,5
2022-02-03,101657.11473129272,-0.008883,-0.008883,5
2022-02-04,102381.81538246154,0.007129,-0.001818,5
2022-02-07,102300.13404510498,-0.000798,-0.002614,5
2022-02-08,102509.57037780761,0.002047,-0.000572,5
2022-02-09,103467.47467658996,0.009345,0.0,5
2022-02-10,103499.32566116333,0.000308,0.0,5
2022-02-11,103585.2879586029,0.000831,0.0,4
2022-02-14,93316.5174559021,-0.099133,-0.099133,4
2022-02-15,94572.6272390747,0.013461,-0.087007,4
2022-02-16,94795.05611595153,0.002352,-0.08486,4
2022-02-17,94160.25785621643,-0.006697,-0.090988,4
2022-02-18,93641.52212127685,-0.005509,-0.095996,4
2022-02-22,93019.08984359741,-0.006647,-0.102005,4
2022-02-23,92887.73666366577,-0.001412,-0.103273,4
2022-02-24,91692.63057884216,-0.012866,-0.11481,3
2022-02-25,92367.497458992,0.00736,-0.108295,3
2022-02-28,91737.67206150055,-0.006819,-0.114375,5
2022-03-01,89236.4525762558,-0.027265,-0.138522,5
2022-03-02,92681.18831310273,0.038602,-0.105267,5
2022-03-03,91101.73355350495,-0.017042,-0.120515,5
2022-03-04,88617.09162387848,-0.027273,-0.144501,5
2022-03-07,84428.09755191804,-0.047271,-0.184941,3
2022-03-08,83486.65866672515,-0.011151,-0.19403,3
2022-03-09,84327.5335427475,0.010072,-0.185912,2
2022-03-10,84198.052926445,-0.001535,-0.187162,2
2022-03-11,84144.02556552886,-0.000642,-0.187684,2
2022-03-14,84633.6613172531,0.005819,-0.182957,2
2022-03-15,84826.75340976715,0.002282,-0.181093,2
2022-03-16,85623.52717723846,0.009393,-0.173401,2
2022-03-17,86050.6975320816,0.004989,-0.169277,2
2022-03-18,85814.92309131622,-0.00274,-0.171553,2
2022-03-21,85683.91902675628,-0.001527,-0.172818,2
2022-03-22,85828.20878925323,0.001684,-0.171425,2
2022-03-23,85492.84263553619,-0.003907,-0.174662,2
2022-03-24,85998.8758939743,0.005919,-0.169777,2
2022-03-25,86282.64089336395,0.0033,-0.167038,2
2022-03-28,86116.78773632049,-0.001922,-0.168639,2
2022-03-29,86567.39035167694,0.005232,-0.164289,2
2022-03-30,86429.87837924957,-0.001588,-0.165616,2
2022-03-31,85951.89240398406,-0.00553,-0.170231,5
2022-04-01,86187.34016658782,0.002739,-0.167958,5
2022-04-04,86479.62676097869,0.003391,-0.165136,5
2022-04-05,85428.2647271347,-0.012157,-0.175286,5
2022-04-06,84974.2522244644,-0.005315,-0.179669,5
2022-04-07,84160.7932553482,-0.009573,-0.187522,5
2022-04-08,86476.91453220366,0.02752,-0.165162,4
2022-04-11,72201.53344692229,-0.165077,-0.302975,4
2022-04-12,72165.9536358261,-0.000493,-0.303319,4
2022-04-13,73345.91821826933,0.016351,-0.291927,4
2022-04-14,73445.80382503508,0.001362,-0.290963,4
2022-04-18,74352.20533145903,0.012341,-0.282213,3
2022-04-19,61236.42360157012,-0.176401,-0.408831,3
2022-04-20,62167.95691341399,0.015212,-0.399838,3
2022-04-21,61329.04368442534,-0.013494,-0.407937,3
2022-04-22,59902.07314914702,-0.023267,-0.421713,3
2022-04-25,59795.30500453948,-0.001782,-0.422743,3
2022-04-26,58632.965734901416,-0.019439,-0.433964,3
2022-04-27,58567.31291622161,-0.00112,-0.434598,3
2022-04-28,59133.828934135425,0.009673,-0.429129,3
2022-04-29,58115.10480159758,-0.017227,-0.438964,5
2022-05-02,58745.14743701933,0.010841,-0.432881,5
2022-05-03,59934.43585865019,0.020245,-0.4214,5
2022-05-04,61121.38305561064,0.019804,-0.409941,4
2022-05-05,53089.44971424101,-0.13141,-0.487481,4
2022-05-06,51223.28725582121,-0.035151,-0.505497,2
2022-05-09,51434.70838016509,0.004127,-0.503455,2
2022-05-10,51227.324037971484,-0.004032,-0.505458,2
2022-05-11,51329.81500858306,0.002001,-0.504468,2
2022-05-12,51416.09628528594,0.001681,-0.503635,2
2022-05-13,51709.05464786528,0.005698,-0.500807,2
2022-05-16,51992.30708927153,0.005478,-0.498072,2
2022-05-17,52849.85753864287,0.016494,-0.489794,2
2022-05-18,52116.373995246875,-0.013879,-0.496875,2
2022-05-19,51842.14522022246,-0.005262,-0.499522,2
2022-05-20,51895.47979587554,0.001029,-0.499007,2
2022-05-23,52696.70237583159,0.015439,-0.491272,1
2022-05-24,46089.33670856475,-0.125385,-0.555059,0
2022-05-25,46238.87074756621,0.003244,-0.553615,0
2022-05-26,46238.87074756621,0.0,-0.553615,0
2022-05-27,46238.87074756621,0.0,-0.553615,0
2022-05-31,46238.87074756621,0.0,-0.553615,5
2022-06-01,46249.32170017241,0.000226,-0.553515,5
2022-06-02,46955.62246616362,0.015272,-0.546696,5
2022-06-03,46529.49077518462,-0.009075,-0.55081,5
2022-06-06,46830.46426685332,0.006468,-0.547904,4
2022-06-07,42574.041392250045,-0.09089,-0.588995,4
2022-06-08,42270.51727573393,-0.007129,-0.591925,4
2022-06-09,42116.578249855025,-0.003642,-0.593412,4
2022-06-10,41840.71215335844,-0.00655,-0.596075,4
2022-06-13,41277.12508670805,-0.01347,-0.601516,4
2022-06-14,41130.25162784575,-0.003558,-0.602933,4
2022-06-15,40678.446246070846,-0.010985,-0.607295,3
2022-06-16,40506.51542987822,-0.004227,-0.608955,3
2022-06-17,40508.3458208084,4.5e-05,-0.608937,2
2022-06-21,40825.37667194365,0.007826,-0.605877,2
2022-06-22,40776.47696796416,-0.001198,-0.606349,2
2022-06-23,41044.660889778126,0.006577,-0.60376,2
2022-06-24,41379.098557624806,0.008148,-0.600531,2
2022-06-27,41362.264100227345,-0.000407,-0.600694,2
2022-06-28,41020.79604450225,-0.008256,-0.60399,2
2022-06-29,40837.645684394825,-0.004465,-0.605758,2
2022-06-30,40699.17159381865,-0.003391,-0.607095,5
2022-07-01,40492.196261482226,-0.005085,-0.609093,5
2022-07-05,40560.029620246874,0.001675,-0.608438,5
2022-07-06,40679.81862171172,0.002953,-0.607282,5
2022-07-07,40879.19173725127,0.004901,-0.605357,5
2022-07-08,40782.38940723418,-0.002368,-0.606292,5
2022-07-11,40439.05353839873,-0.008419,-0.609606,5
2022-07-12,40292.59887989043,-0.003622,-0.61102,5
2022-07-13,40138.54434497832,-0.003823,-0.612507,5
2022-07-14,40114.67919452666,-0.000595,-0.612738,5
2022-07-15,40632.74628742217,0.012915,-0.607736,5
2022-07-18,40456.64194019316,-0.004334,-0.609436,5
2022-07-19,41221.6463499832,0.018909,-0.602051,5
2022-07-20,41444.44802387236,0.005405,-0.5999,5
2022-07-21,41790.4426680374,0.008348,-0.59656,4
2022-07-22,36906.59832569121,-0.116865,-0.643708,4
2022-07-25,36942.821447334274,0.000981,-0.643358,4
2022-07-26,36772.26131244658,-0.004617,-0.645005,4
2022-07-27,37048.49375720976,0.007512,-0.642338,4
2022-07-28,37523.86488147734,0.012831,-0.637749,4
2022-07-29,37997.83963581084,0.012631,-0.633173,4
2022-08-01,33986.284425392136,-0.105573,-0.6719,4
2022-08-02,33818.97446979521,-0.004923,-0.673516,4
2022-08-03,33886.21617282866,0.001988,-0.672867,4
2022-08-04,33744.36725772856,-0.004186,-0.674236,4
2022-08-05,33902.068147315964,0.004673,-0.672713,4
2022-08-08,33860.692266120896,-0.00122,-0.673113,4
2022-08-09,33784.752256050095,-0.002243,-0.673846,3
2022-08-10,30515.358670845017,-0.096771,-0.705408,3
2022-08-11,30467.203187599167,-0.001578,-0.705873,3
2022-08-12,30701.560964241013,0.007692,-0.703611,3
2022-08-15,30722.96544422148,0.000697,-0.703404,3
2022-08-16,30909.195348396286,0.006062,-0.701606,3
