ticker,entry_date,exit_date,entry_price,exit_price,quantity,gross_pnl,net_pnl,cost,return_pct,exit_reason,holding_days,is_win
CF,2022-01-31,2022-02-11,62.89,70.44,59,445.45,440.1,5.35,12.01,take_profit_TP1_partial,11,True
CTRA,2022-01-31,2022-02-24,17.76,17.597184562683108,703,-114.46,-128.44,13.98,-0.92,trailing_stop,24,False
TPR,2022-01-31,2022-03-07,33.86,28.78,369,-1874.52,-1886.66,12.14,-15.0,hard_stop,35,False
LVS,2022-01-31,2022-03-07,41.36,34.81,302,-1978.1,-1990.13,12.03,-15.84,hard_stop,35,False
STX,2022-01-31,2022-03-09,93.75,78.88,133,-1977.71,-1989.72,12.01,-15.86,hard_stop,37,False
EQT,2022-03-31,2022-04-08,32.42,36.31,165,641.85,634.57,7.28,12.0,take_profit_TP1_partial,8,True
CTRA,2022-03-31,2022-04-18,22.36,25.04,240,643.2,635.9,7.3,11.99,take_profit_TP1_partial,18,True
CTRA,2022-04-29,2022-05-04,23.87,26.73,91,260.26,256.72,3.54,11.98,take_profit_TP1_partial,5,True
NWS,2022-02-28,2022-05-06,21.58,18.54,531,-1614.24,-1625.57,11.33,-14.09,hard_stop,67,False
RL,2022-03-31,2022-05-06,104.7,90.33,171,-2457.27,-2474.48,17.21,-13.72,hard_stop,36,False
EQT,2022-04-29,2022-05-23,37.45,41.94,57,255.93,252.43,3.5,11.99,take_profit_TP1_partial,24,True
OMC,2022-02-28,2022-05-24,72.34,61.49,158,-1714.3,-1725.49,11.19,-15.0,hard_stop,85,False
APP,2022-05-31,2022-06-06,38.11,42.68,45,205.65,202.64,3.01,11.99,take_profit_TP1_partial,6,True
SW,2022-05-31,2022-06-15,34.98,31.96,165,-498.3,-504.97,6.67,-8.63,hard_stop,15,False
ICE,2022-05-31,2022-06-17,97.06,86.82,59,-604.16,-610.53,6.37,-10.55,hard_stop,17,False
FICO,2022-05-31,2022-07-21,409.55,458.7,4,196.6,193.68,2.92,12.0,take_profit_TP1_partial,51,True
LH,2022-06-30,2022-07-29,192.41,215.5,7,161.63,159.06,2.57,12.0,take_profit_TP1_partial,29,True
CHRW,2022-06-30,2022-08-09,92.66,103.78,16,177.92,175.19,2.73,12.0,take_profit_TP1_partial,40,True
DELL,2022-05-31,2022-08-29,45.76,37.52,126,-1038.24,-1044.19,5.95,-18.01,hard_stop,90,False
FDX,2022-06-30,2022-09-16,209.12,173.43,23,-820.87,-826.05,5.18,-17.07,hard_stop,78,False
EQT,2022-08-31,2022-09-23,45.35,37.74,79,-601.19,-605.31,4.12,-16.78,hard_stop,23,False
CTRA,2022-08-31,2022-09-26,26.75,21.94,135,-649.35,-653.45,4.1,-17.98,hard_stop,26,False
LVS,2022-09-30,2022-10-04,35.43,39.68,27,114.75,112.64,2.11,12.0,take_profit_TP1_partial,4,True
BIIB,2022-09-30,2022-11-14,267.0,299.04,3,96.12,94.19,1.93,12.0,take_profit_TP1_partial,45,True
NWSA,2022-10-31,2022-11-30,16.37,18.33,99,194.04,191.14,2.9,11.97,take_profit_TP1_partial,30,True
BSX,2022-07-29,2022-12-01,41.05,45.98,69,340.17,335.85,4.32,12.01,take_profit_TP1_partial,125,True
PLTR,2022-09-30,2022-12-20,8.13,6.31,408,-742.56,-747.76,5.2,-22.39,hard_stop,81,False
CF,2022-08-31,2022-12-27,95.6,81.26,37,-530.58,-534.73,4.15,-15.0,hard_stop,118,False
RL,2022-12-30,2023-01-12,99.9,111.89,4,47.96,46.5,1.46,12.0,take_profit_TP1_partial,13,True
APP,2022-12-30,2023-01-23,10.53,11.79,41,51.66,50.16,1.5,11.97,take_profit_TP1_partial,24,True
INTU,2022-12-30,2023-02-01,379.71,425.28,1,45.57,44.13,1.44,12.0,take_profit_TP1_partial,33,True
SPG,2022-12-30,2023-02-02,98.78,110.63,4,47.4,45.95,1.45,12.0,take_profit_TP1_partial,34,True
APP,2023-01-31,2023-02-02,12.7,14.22,58,88.16,86.3,1.86,11.97,take_profit_TP1_partial,2,True
NWS,2023-01-31,2023-03-09,19.87,16.29,124,-443.92,-447.03,3.11,-18.02,hard_stop,37,False
FICO,2023-02-28,2023-05-04,677.39,758.68,1,81.29,79.5,1.79,12.0,take_profit_TP1_partial,65,True
EQT,2023-03-31,2023-05-15,30.52,34.18,14,51.24,49.75,1.49,11.99,take_profit_TP1_partial,45,True
ICE,2022-12-30,2023-06-28,98.36,107.99177551269531,14,134.84,132.26,2.58,9.79,time_stop,180,True
FICO,2023-05-31,2023-08-03,787.67,882.19,1,94.52,92.6,1.92,12.0,take_profit_TP1_partial,64,True
CTRA,2023-06-30,2023-08-09,23.15,25.93,16,44.48,43.05,1.43,12.01,take_profit_TP1_partial,40,True
KEYS,2023-05-31,2023-08-18,161.8,137.53,7,-169.89,-171.89,2.0,-15.0,hard_stop,79,False
FOX,2023-02-28,2023-08-28,30.95,29.204923629760742,23,-40.14,-41.84,1.7,-5.64,time_stop,181,False
FOXA,2023-02-28,2023-08-28,33.72,31.552335739135742,21,-45.52,-47.21,1.69,-6.43,time_stop,181,False
CF,2023-08-31,2023-09-26,72.62,81.33,3,26.13,24.88,1.25,11.99,take_profit_TP1_partial,26,True
EXE,2023-08-31,2023-12-06,82.05,69.74,12,-147.72,-149.59,1.87,-15.0,hard_stop,97,False
EQT,2023-08-31,2023-12-07,41.68,35.43,24,-150.0,-151.88,1.88,-15.0,hard_stop,98,False
RL,2023-12-29,2024-02-08,139.68,156.44,1,16.76,15.61,1.15,12.0,take_profit_TP1_partial,41,True
CI,2023-12-29,2024-02-09,287.09,321.54,1,34.45,33.12,1.33,12.0,take_profit_TP1_partial,42,True
CTRA,2023-08-31,2024-02-27,25.98,24.12009048461914,38,-70.68,-72.63,1.95,-7.16,time_stop,180,False
CTRA,2024-02-29,2024-04-04,23.93,26.8,6,17.22,16.06,1.16,11.99,take_profit_TP1_partial,35,True
RL,2024-02-29,2024-04-18,180.09,153.08,3,-81.03,-82.5,1.47,-15.0,hard_stop,49,False
CF,2023-12-29,2024-06-26,75.28,73.14228820800781,9,-19.24,-20.92,1.68,-2.84,time_stop,180,False
