ticker,entry_price,entry_date,atr_pct,vol_annualized,max_intraday_dd,pre_momentum,market_cap,sector,beta,price_to_book,optimal_width,optimal_activate,optimal_pnl_pct,baseline_pnl_pct,actual_pnl_pct,exit_reason,trade_days
TMDX,18.479999542236328,2022-02-28,0.0581,0.7391,-0.1599,0.0,2424448000,Healthcare,2.061,5.0811243,0.04,0.08,20.0,20.0,20.02,take_profit_TP1_partial,16
STLD,67.49403740126556,2022-02-28,0.0259,0.3181,-0.0958,0.0,33591482368,Basic Materials,1.493,3.7691548,0.04,0.08,20.0,20.0,20.0,take_profit_TP1_partial,20
DKNG,19.56999969482422,2022-03-31,0.0445,0.3484,-0.3126,0.0,13087609856,Consumer Cyclical,1.666,20.689655,0.04,0.08,-16.3,-16.3,-25.04,hard_stop,17
TMDX,27.100000381469727,2022-03-31,0.032,0.407,-0.2447,0.0,2424793600,Healthcare,2.061,5.0818486,0.04,0.08,-17.05,-17.05,-20.59,hard_stop,18
AFRM,28.739999771118164,2022-05-31,0.0651,0.7045,-0.4133,0.6032,23151190016,Financial Services,3.723,6.5093193,0.04,0.08,-15.38,-15.38,20.01,take_profit_TP1_partial,52
CDRE,23.75022919564711,2022-05-31,0.026,0.3798,-0.3504,0.1219,1278359936,Industrials,1.319,3.9625895,0.04,0.08,-3.5,-22.07,20.0,take_profit_TP1_partial,108
DKNG,16.329999923706055,2022-10-31,0.02,0.3,-0.3125,0.0,13142141952,Consumer Cyclical,1.666,20.775862,0.04,0.08,-30.74,-30.74,-30.01,hard_stop,7
TMDX,49.119998931884766,2022-10-31,0.02,0.3,-0.103,0.0,2424793600,Healthcare,2.061,5.0818486,0.04,0.18,14.54,14.54,19.99,take_profit_TP1_partial,10
AFRM,15.970000267028809,2023-01-31,0.02,0.3,-0.05,0.0,23166179328,Financial Services,3.723,6.5135336,0.04,0.08,20.0,20.0,19.97,take_profit_TP1_partial,5
TMDX,62.45000076293945,2022-11-30,0.0296,0.4891,-0.1658,0.1381,2424620800,Healthcare,2.061,5.081486,0.04,0.12,20.0,20.0,20.0,take_profit_TP1_partial,60
TMDX,79.51000213623047,2023-02-28,0.0235,0.2837,-0.1956,-0.072,2424620800,Healthcare,2.061,5.081486,0.04,0.08,-16.7,-16.7,-15.0,hard_stop,35
AFRM,11.199999809265137,2023-03-31,0.044,0.569,-0.2299,0.3367,23166179328,Financial Services,3.723,6.5135336,0.04,0.08,-19.55,-19.55,20.0,take_profit_TP1_partial,35
AFRM,14.725000381469727,2023-05-31,0.02,0.3,-0.0775,0.0,23166179328,Financial Services,3.723,6.5135336,0.04,0.08,20.0,20.0,20.0,take_profit_TP1_partial,8
AFRM,19.049999237060547,2023-07-31,0.02,0.3,-0.2606,0.0,23166179328,Financial Services,3.723,6.5135336,0.04,0.08,-17.8,-17.8,-22.73,hard_stop,12
TMDX,74.3499984741211,2023-11-30,0.0223,0.2898,-0.0887,0.0626,2424620800,Healthcare,2.061,5.081486,0.04,0.2,16.27,16.27,20.0,take_profit_TP1_partial,39
TMDX,85.44999694824219,2024-01-31,0.0265,0.5109,-0.1355,-0.0784,2424620800,Healthcare,2.061,5.081486,0.04,0.08,-3.19,-3.19,-15.0,hard_stop,22
TMDX,87.0199966430664,2024-11-29,0.02,0.3,-0.236,0.0,2424620800,Healthcare,2.061,5.081486,0.04,0.08,-17.9,-17.9,-15.85,hard_stop,6
